hour,usertype_std,trip_count
0,Customer,3443
0,Subscriber,14772
0,casual,312
0,member,1416
1,Customer,2154
1,Subscriber,8517
1,casual,224
1,member,842
2,Customer,1435
2,Subscriber,4919
2,casual,137
2,member,515
3,Customer,832
3,Subscriber,3501
3,casual,101
3,member,378
4,Customer,622
4,Subscriber,6560
4,casual,58
4,member,1028
5,Customer,1519
5,Subscriber,33457
5,casual,136
5,member,5165
6,Customer,3575
6,Subscriber,101256
6,casual,341
6,member,14827
7,Customer,7417
7,Subscriber,218850
7,casual,757
7,member,31690
8,Customer,11082
8,Subscriber,276228
8,casual,1338
8,member,41448
9,Customer,9596
9,Subscriber,131909
9,casual,1829
9,member,18971
10,Customer,11897
10,Subscriber,94179
10,casual,2697
10,member,12933
11,Customer,15002
11,Subscriber,112580
11,casual,3322
11,member,15846
12,Customer,17713
12,Subscriber,128693
12,casual,4227
12,member,18215
13,Customer,18591
13,Subscriber,122473
13,casual,5002
13,member,18156
14,Customer,19083
14,Subscriber,116210
14,casual,5394
14,member,17381
15,Customer,20541
15,Subscriber,151898
15,casual,5262
15,member,23120
16,Customer,23968
16,Subscriber,270394
16,casual,5110
16,member,39648
17,Customer,27905
17,Subscriber,346308
17,casual,4663
17,member,48238
18,Customer,22868
18,Subscriber,219627
18,casual,2776
18,member,28281
19,Customer,17076
19,Subscriber,139061
19,casual,1639
19,member,16721
20,Customer,12170
20,Subscriber,87338
20,casual,1031
20,member,9793
21,Customer,9428
21,Subscriber,63084
21,casual,903
21,member,7108
22,Customer,8288
22,Subscriber,42717
22,casual,596
22,member,4277
23,Customer,5652
23,Subscriber,24958
23,casual,415
23,member,2410
